x y z A dCp dVx dVy dVz dP dFx dFy dFz mu 
75.212107442320104 -62.18386363636364 -0.0020632307416976786 0.43477383175187712 0.086578036076263798 -0.90341804749349397 -0.10680708619612385 -0.29300177768244517 0.043289018038131899 -0.00051664802388122315 -0.00044322139696203414 0.018808618242488157 0.88064221271944421
75.036411048880666 -62.18386363636364 -0.0094543230593186704 0.58325151850734247 0.057322576270355419 -0.93433124160136072 -0.10467014499503874 -0.24237721725447242 0.028661288135177709 -0.00088331961821505112 -0.00075897519799953837 0.016676123456961567 0.86230397292217442
74.80277144333968 -62.18386363636364 -0.024575617500927439 0.77328530718324029 0.036607220624233827 -0.95502314393452137 -0.10378286662802241 -0.20137698607253698 0.018303610312116914 -0.0010369097296814131 -0.00089246081179889794 0.014087639367090019 0.83837276197309785
74.496521125543538 -62.18386363636364 -0.05050223322616617 1.0094060520613071 -0.0027584971283207693 -0.98261901590284051 -0.1038244761243054 -0.16260026098370078 -0.0013792485641603847 0.00012871579247282912 0.00011102048561771157 -0.0013818061985964095 0.80900986162741306
74.102488859294084 -62.18386363636364 -0.090972052221583083 1.2909273591170987 -0.061522763034369765 -1.0168295541594432 -0.10473827027797226 -0.12888101319223086 -0.030761381517184883 0.004330475870377804 0.0037440990052135903 -0.03929591723114495 0.77512305796192571
73.60729607785612 -62.18386363636364 -0.1492297796208249 1.6081239548744635 -0.14092769561693008 -1.0579032260104924 -0.10620755358113293 -0.1024129658580103 -0.070463847808465041 0.013826281932669179 0.011983493911154179 -0.1118276743047445 0.73964925219479138
73.002782809235484 -62.18386363636364 -0.22643773778199663 1.938388895036558 -0.23754446860002676 -1.1037598994503064 -0.10751222141193692 -0.087747793206136071 -0.11877223430001338 0.029739955691371285 0.025823085897052841 -0.22683269936691175 0.70804291071582837
72.290049823757897 -62.18386363636364 -0.31911347008118368 2.2451160176272347 -0.34046562299645045 -1.1491223751948036 -0.10758700897027471 -0.091697466289605178 -0.17023281149822522 0.048634175681089166 0.042199690729330455 -0.3767292697830249 0.68706425787737979
71.483111825722176 -62.18386363636364 -0.41767507090497652 2.4832935089331234 -0.43296354486208455 -1.1865661264733034 -0.10569362667931893 -0.11769974361738431 -0.21648177243104227 0.061576491682662625 0.053054835898392549 -0.53140769806862775 0.68206743489789312
70.610469631792029 -62.18386363636364 -0.50783176703549526 2.6115379235685814 -0.49810114796042537 -1.2083671590198961 -0.10188054691821859 -0.16604310019466412 -0.24905057398021269 0.059043312076958614 0.049683221634874687 -0.64581123659612993 0.69464294036617313
69.712752107349772 -62.18386363636364 -0.57380870903871728 2.6061854855707942 -0.52380587587503924 -1.2075200182519183 -0.097185024321456703 -0.23718421626146186 -0.26190293793751962 0.037864102965598535 0.02912540056402772 -0.68089396953921666 0.72165953645724279
68.836166827130512 -62.18386363636364 -0.60279059942473845 2.4709656548219732 -0.50488262559095576 -1.1780964109743783 -0.093830329480745503 -0.32888803765077756 -0.25244131279547788 0.0058248374024128654 -0.0013281193743219239 -0.62374520288380997 0.75458342137233292
68.02358366912884 -62.18386363636364 -0.59199548298875104 2.2339038207500903 -0.4436845294646703 -1.1211427626571355 -0.092838606023872852 -0.42202420361602511 -0.22184226473233515 -0.018971699279382609 -0.024323836894662186 -0.49461327857975984 0.77927983724344152
67.306284708374264 -62.18386363636364 -0.55022700934651114 1.9341222773867319 -0.35657007794960061 -1.0460186107292422 -0.093499055489605715 -0.50365967734197115 -0.1782850389748003 -0.027829004992827443 -0.03154485789590257 -0.34224960816860783 0.78393486861476358
66.700158797760565 -62.18386363636364 -0.4887483752628643 1.6137355395631621 -0.26986586748084807 -0.95811264806042584 -0.098477341907527022 -0.58496857542804359 -0.13493293374042403 -0.026923598253428969 -0.029373884313958969 -0.21406925527533888 0.76467216614855049
66.207050299237267 -62.18386363636364 -0.41607001372617325 1.3066861101819902 -0.1946028578849317 -0.856957370260508 -0.11014158170682885 -0.66939954841652238 -0.097301428942465851 -0.021491754676165029 -0.023042667794853852 -0.12317603807035882 0.72206302065038042
65.818998984070575 -62.18386363636364 -0.33771095856326777 1.0357892834218367 -0.14552116531505366 -0.7310345295323375 -0.13442405830853899 -0.77009080925196738 -0.072760582657526829 -0.016909080437275171 -0.017947812747773611 -0.071216477998389968 0.65973175504107529
65.523141807440453 -62.18386363636364 -0.25576218973638398 0.81246520132427591 -0.14186988005131695 -0.54842718410778701 -0.18153179631848759 -0.89896813664795905 -0.070934940025658477 -0.017140928951670055 -0.018081432391345489 -0.051968427089600491 0.58049807533000664
65.307095710882791 -62.18386363636364 -0.16817685561422058 0.64430360961853894 -0.29803842838144456 -0.17185513922734674 -0.28803189740010443 -1.0888259115132637 -0.14901921419072228 -0.039489851139735646 -0.041485962096002207 -0.077058947382150744 0.48290941517165481
65.178823935454943 -62.18386363636364 -0.061182705362206796 0.55971074973577306 -1.9902943508121567 0.8189364111263735 -0.63365856876179871 -1.3849600440367804 -0.99514717540607833 -0.35219665695604541 -0.36893930614575876 -0.22379512070312141 0.35088748594010127
65.178823935454943 -62.18386363636364 0.061182705362206116 0.5597107497357573 -4.4186050891598816 1.9861015644113229 -0.50103556661296011 -1.1058792999200262 -2.2093025445799408 -0.78190341050609158 -0.81907336724414692 0.49684221776765325 0.16622202847526082
65.307095710882791 -62.18386363636364 0.16817685561422047 0.64430360961856192 -2.6615086534713441 1.8335443795900666 -0.13146534593395401 -0.53135724739904289 -1.3307543267356721 -0.35264774782059871 -0.3704731893659865 0.6881429901465731 -0.0087859695835846435
