x y z A dCp dVx dVy dVz dP dFx dFy dFz mu 
23.0212288 -1.44613636 -0.00440546498 0.928340912 0.214673162 -0.885940909 -0.0208692271 0 0.107336581 -0.00273532514 -0.00234657829 0.099579744 2.64184666
22.6460762 -1.44613636 -0.0201871209 1.24537086 0.212168217 -0.88737762 -0.0198181383 0 0.106084108 -0.00698092952 -0.00599822728 0.131793067 2.60270238
22.1472015 -1.44613636 -0.0524745136 1.65114415 0.208032548 -0.889692485 -0.0203652978 0 0.104016274 -0.0125820274 -0.0108292615 0.170941696 2.54943609
21.493288 -1.44613636 -0.107833713 2.1553092 0.196510375 -0.896105707 -0.022003416 0 0.0982551873 -0.01957893 -0.0168873034 0.21018599 2.48155332
20.6519413 -1.44613636 -0.194245949 2.75642061 0.177586198 -0.906547129 -0.0242093317 0 0.0887930989 -0.0266903099 -0.0230762642 0.242194608 2.39963627
19.594593 -1.44613636 -0.318639398 3.43370724 0.149875522 -0.921678901 -0.0251485072 0 0.0749377608 -0.0313966461 -0.0272120666 0.253937811 2.3097446
18.3038197 -1.44613636 -0.483495921 4.13889837 0.117062628 -0.939363122 -0.0231154189 0 0.0585313141 -0.0312937424 -0.0271722004 0.23868376 2.22138739
16.7819729 -1.44613636 -0.681379616 4.79383183 0.0843033791 -0.956745327 -0.0183028784 0 0.0421516895 -0.0257132594 -0.0223113 0.199179709 2.14474034
15.0589771 -1.44613636 -0.891830921 5.30239296 0.0576912761 -0.970641613 -0.012788875 0 0.028845638 -0.0175193269 -0.0150947999 0.151192605 2.08673
13.1956882 -1.44613636 -1.0843358 5.57622814 0.0437783003 -0.977821827 -0.00928385649 0 0.0218891501 -0.0110804224 -0.00932384469 0.121196799 2.04676223
11.2788582 -1.44613636 -1.22521162 5.56479454 0.0489041805 -0.975182235 -0.0107462229 0 0.0244520903 -0.00754827028 -0.00580619462 0.135737196 2.01599836
9.40715027 -1.44613636 -1.28709459 5.27607393 0.0798023939 -0.959065378 -0.0197790619 0 0.039901197 -0.00196587341 0.000448232924 0.210512012 1.97958302
7.67210102 -1.44613636 -1.26404452 4.76988983 0.134362638 -0.929697514 -0.0360541455 0 0.067181319 0.0122674834 0.0157282874 0.319826066 1.91951311
6.14050484 -1.44613636 -1.17485929 4.12979078 0.199784875 -0.89278698 -0.0560937636 0 0.0998924375 0.0332934931 0.03773899 0.40945375 1.82849848
4.84628868 -1.44613636 -1.04358852 3.44569111 0.271370769 -0.849932432 -0.0790195167 0 0.135685384 0.0578085519 0.0630696341 0.459635288 1.71434557
3.79339027 -1.44613636 -0.888403773 2.79007077 0.350861967 -0.798869848 -0.104618512 0 0.175430983 0.0827375948 0.0887081921 0.474195331 1.58659494
2.96481276 -1.44613636 -0.721089423 2.21164513 0.447849035 -0.730107188 -0.138182729 0 0.223924518 0.111114182 0.117939964 0.467982918 1.45267367
2.33309078 -1.44613636 -0.546110272 1.73479772 0.57705462 -0.62188077 -0.19028841 0 0.28852731 0.148869291 0.157037571 0.451346785 1.31446695
1.87178326 -1.44613636 -0.359095693 1.37573361 0.759114444 -0.390465766 -0.297358423 0 0.379557222 0.21476534 0.225621164 0.419084787 1.16736114
1.59789395 -1.44613636 -0.130638942 1.19510937 0.486858904 0.326384842 -0.637662947 0 0.243429452 0.183956474 0.192701325 0.116890818 0.993855417
1.59789395 -1.44613636 0.130638942 1.19510937 -1.28972101 1.42997956 -0.49485302 0 -0.644860506 -0.487312675 -0.510478377 0.309651405 0.766474903
1.87178326 -1.44613636 0.359095693 1.37573361 -1.14175534 1.45912206 -0.112774499 0 -0.570877671 -0.323020428 -0.339348257 0.630329549 0.553099334
2.33309078 -1.44613636 0.546110272 1.73479772 -0.777074575 1.33301616 -0.0119375773 0 -0.388537288 -0.200470701 -0.211470276 0.607793629 0.368297338
2.96481276 -1.44613636 0.721089423 2.21164513 -0.673275232 1.29301965 0.0370869525 0 -0.336637616 -0.167043835 -0.1773054 0.703543544 0.167279825
3.79339027 -1.44613636 0.888403773 2.79007077 -0.627550483 1.27392995 0.068212606 0 -0.313775241 -0.147984177 -0.158663169 0.848144114 -0.0688623562
