x y z A dCp dVx dVy dVz dP dFx dFy dFz mu 
2.5523901 0.103448279 0.496413827 0.0019335706 0.276486874 -0.804639876 -0.275803924 0 0.138243437 4.36953087e-05 0 0.000263707887 0.0908158273
2.54214525 0.103448279 0.49796164 0.00235409476 0.300426424 -0.78986001 -0.275126725 0 0.150213212 4.87290854e-05 0 0.000350242597 0.0892608389
2.52964783 0.103448279 0.499476165 0.00285580824 0.319611132 -0.777960837 -0.274163812 0 0.159805566 4.83083277e-05 0 0.000453810149 0.0870496109
2.51447511 0.103448279 0.500780821 0.00344675127 0.324613452 -0.77514863 -0.273003936 0 0.162306726 3.85561725e-05 0 0.000558100699 0.0841296017
2.49618721 0.103448279 0.501630545 0.00413047662 0.315544903 -0.781442046 -0.271667898 0 0.157772452 1.79992057e-05 0 0.000651426904 0.0804738551
2.47434139 0.103448279 0.501855135 0.00491069583 0.300318241 -0.791656196 -0.270115256 0 0.150159121 -3.17577155e-06 -0 0.000737378956 0.0761827752
2.44850779 0.103448279 0.501276135 0.00578329479 0.279401064 -0.805373847 -0.268275827 0 0.139700532 -3.05174362e-05 -0 0.00080735283 0.0712498054
2.41830516 0.103448279 0.499588072 0.00673560146 0.246997476 -0.825972736 -0.266029239 0 0.123498738 -5.92875731e-05 -0 0.000829722965 0.0658436045
2.38344455 0.103448279 0.496602982 0.00774351787 0.203352273 -0.852897108 -0.263085961 0 0.101676136 -7.67794627e-05 -0 0.000783578318 0.0603460297
2.34377956 0.103448279 0.492225111 0.00877039135 0.147020698 -0.886460304 -0.259166837 0 0.0735103488 -7.76560264e-05 -0 0.000640020589 0.0551841706
2.29933929 0.103448279 0.486573458 0.00976702292 0.0808649659 -0.924496651 -0.253852218 0 0.040432483 -5.18435518e-05 -0 0.000391487149 0.0510304682
2.25036597 0.103448279 0.480092794 0.0106744627 0.0158042908 -0.960813105 -0.247050464 0 0.00790214539 -1.10584415e-05 -0 8.36231338e-05 0.0483339243
2.1973877 0.103448279 0.473259628 0.0114292856 -0.045365572 -0.994109571 -0.238980621 0 -0.022682786 3.23930253e-05 0 -0.000257216336 0.0472331308
2.1412046 0.103448279 0.466839612 0.0119716646 -0.0930154324 -1.01981175 -0.230215967 0 -0.0465077162 5.71336423e-05 0 -0.000553835649 0.0479222387
2.0828805 0.103448279 0.461820543 0.0122549953 -0.106325269 -1.02820694 -0.221620783 0 -0.0531626344 4.51024243e-05 0 -0.000649944879 0.0498505533
2.02374649 0.103448279 0.458543956 0.0122542111 -0.0894024372 -1.02170515 -0.213356555 0 -0.0447012186 2.26833308e-05 0 -0.000547308358 0.0518967956
1.96523869 0.103448279 0.456702173 0.0119691342 -0.0616590977 -1.00976896 -0.205001667 0 -0.0308295488 7.85149041e-06 0 -0.000368919515 0.0534537919
1.90870857 0.103448279 0.455942571 0.0114255026 -0.0343155861 -0.997937679 -0.196051106 0 -0.017157793 1.02314254e-06 0 -0.000196033739 0.0543897264
1.85531342 0.103448279 0.456150711 0.0106701935 -0.00342679024 -0.984255493 -0.186193198 0 -0.00171339512 -2.49741049e-07 -0 -1.82805506e-05 0.0548253804
1.8059473 0.103448279 0.457203031 0.00976248458 0.0272416472 -0.970565319 -0.175388962 0 0.0136208236 3.94574499e-06 0 0.000132914531 0.0546345189
