x y z A dCp dVx dVy dVz dP dFx dFy dFz mu 
0.706208885 0.953103423 -0.0271570385 0.000970219029 -0.369691133 -1.17028856 0.0107646454 0 -0.184845567 -3.54037147e-05 1.25712006e-07 -0.000175811379 0.0199358538
0.698976994 0.953103423 -0.0258071907 0.00118118955 -0.324130297 -1.15067589 0.00867650658 0 -0.162065148 -3.2928936e-05 1.28465672e-07 -0.000188576218 0.0215895083
0.690145969 0.953103423 -0.0244245306 0.00143291964 -0.185573339 -1.08882916 0.00493860478 0 -0.0927866697 -1.86618636e-05 8.64660876e-08 -0.000131639594 0.0233143773
0.679411709 0.953103423 -0.0231234357 0.00172942632 -0.032578826 -1.0161221 0.00864688586 0 -0.016289413 -2.92118352e-06 1.81593531e-08 -2.80194708e-05 0.0240910053
0.666455567 0.953103423 -0.0220664144 0.00207251729 -0.00155699253 -1.00072098 0.0107033616 0 -0.000778496265 -1.01015729e-07 1.0629182e-09 -1.61028152e-06 0.0245324206
0.650959492 0.953103423 -0.0213639978 0.00246398896 0.0129383206 -0.993421376 0.0132533237 0 0.00646916032 4.89320826e-07 -1.09043246e-08 1.59324227e-05 0.0248808842
0.63261342 0.953103423 -0.0211333297 0.00290182093 0.031146884 -0.984193623 0.0146977603 0 0.015573442 -1.27518376e-07 -3.1852263e-08 4.5191151e-05 0.0249704197
0.611139774 0.953103423 -0.0215824172 0.00337962923 0.0128831267 -0.99341619 0.0155285569 0 0.00644156337 -7.93155948e-07 -1.54793316e-08 2.1755639e-05 0.0247964263
0.586328804 0.953103423 -0.0228391718 0.00388537231 -0.0670707226 -1.03291237 0.0127538843 0 -0.0335353613 8.19477009e-06 8.84794957e-08 -0.000130039392 0.0251864847
0.558074474 0.953103423 -0.0249687359 0.00440058112 -0.127102017 -1.06164873 -0.00201541721 0 -0.0635510087 2.40446607e-05 1.67337944e-07 -0.000278625725 0.0270525441
0.526400685 0.953103423 -0.0278865583 0.00490063336 -0.131307483 -1.06355834 -0.012295288 0 -0.0656537414 3.11762851e-05 1.54534646e-07 -0.000320230873 0.029127067
0.491489589 0.953103423 -0.0312802233 0.00535595976 -0.138147831 -1.06659794 -0.0227291044 0 -0.0690739155 3.57453682e-05 1.34239045e-07 -0.000368226174 0.031513419
0.453727126 0.953103423 -0.0348181278 0.00573471747 -0.160483956 -1.07683921 -0.0300212465 0 -0.0802419782 4.14880778e-05 1.54734565e-07 -0.000458290975 0.034218967
0.413700044 0.953103423 -0.0379748233 0.00600684108 -0.200065374 -1.09485018 -0.0369913727 0 -0.100032687 4.06157269e-05 2.56226059e-07 -0.000599506136 0.03783134
0.372188628 0.953103423 -0.0400834717 0.00614902098 -0.201034784 -1.09492135 -0.0467120484 0 -0.100517392 2.11662718e-05 3.25295844e-07 -0.000617721002 0.0424665958
0.330145717 0.953103423 -0.0409430042 0.00614863634 -0.167957187 -1.07942486 -0.0529069863 0 -0.0839785933 3.42345652e-06 2.70624241e-07 -0.000516342465 0.0465831012
0.288582802 0.953103423 -0.0408099294 0.0060055973 -0.14417541 -1.06806457 -0.0584244952 0 -0.0720877051 -5.74382057e-06 1.66918696e-07 -0.000432891597 0.0502878092
