x y z A dCp dVx dVy dVz dP dFx dFy dFz mu 
0.999506712 0.0500000007 -7.16578143e-05 9.97006864e-05 0.257274568 -0.80346787 -0.311712742 0 0.128637284 -1.84360442e-06 -0 1.26920268e-05 0.0467567705
0.997535348 0.0500000007 -0.000357457844 0.000298690808 0.218609214 -0.827247858 -0.311531246 0 0.109304607 -4.6813625e-06 -0 3.23109125e-05 0.0463898927
0.993600488 0.0500000007 -0.00092575606 0.000496447086 0.159734964 -0.862286448 -0.311009854 0 0.0798674822 -5.65710297e-06 -0 3.92443362e-05 0.0457993411
0.987717628 0.0500000007 -0.00177004025 0.00069218874 0.115202487 -0.88800168 -0.310242712 0 0.0576012433 -5.64642778e-06 -0 3.94690906e-05 0.0450843759
0.979909897 0.0500000007 -0.00288076536 0.000885081303 0.0819759369 -0.906811416 -0.309381843 0 0.0409879684 -5.08742232e-06 -0 3.59191945e-05 0.0442976616
0.970208228 0.0500000007 -0.00424560485 0.00107436185 0.0556755066 -0.921473026 -0.308564425 0 0.0278377533 -4.14360238e-06 -0 2.96193921e-05 0.0434771851
0.958650827 0.0500000007 -0.00584976189 0.00125926733 0.0332586169 -0.933751762 -0.307975769 0 0.0166293085 -2.85994793e-06 -0 2.07445282e-05 0.0426495858
0.945283413 0.0500000007 -0.00767632108 0.0014390588 0.0123904347 -0.944986045 -0.307588935 0 0.00619521737 -1.19771164e-06 -0 8.83446319e-06 0.0418492779
0.930158615 0.0500000007 -0.00970661826 0.00161302683 -0.00775420666 -0.95565486 -0.307372779 0 -0.00387710333 8.24778681e-07 0 -6.1992464e-06 0.041109778
0.913336217 0.0500000007 -0.0119206086 0.00178047421 -0.027513504 -0.966005027 -0.307160765 0 -0.013756752 3.16497835e-06 0 -2.42881961e-05 0.0404669531
0.89488256 0.0500000007 -0.0142972078 0.00194073922 -0.0465970039 -0.975953937 -0.306774974 0 -0.023298502 5.71400642e-06 0 -4.48538194e-05 0.0399532318
0.874870479 0.0500000007 -0.016814597 0.00209322572 -0.0644991398 -0.985317469 -0.306020617 0 -0.0322495699 8.32767091e-06 0 -6.69899964e-05 0.0395942256
0.853378892 0.0500000007 -0.0194504634 0.00223730202 -0.0808068514 -0.993936598 -0.304789901 0 -0.0404034257 1.08664181e-05 0 -8.97391583e-05 0.0394068025
0.830492735 0.0500000007 -0.0221821778 0.00237242575 -0.0951501131 -1.00167859 -0.302968711 0 -0.0475750566 1.31970874e-05 0 -0.000112094116 0.039400097
0.806302309 0.0500000007 -0.0249869023 0.00249807839 -0.107385874 -1.00849903 -0.300525546 0 -0.0536929369 1.52245957e-05 0 -0.000133262307 0.03957396
